name,resultv,latency,inlen,outlen,mem,tprocess2,tprocess3,tkafka,kafkalen,tdatabase,resulsetlen,numthread,tranrate,loadcpu,freemem
1678835162130,200,20504,8462,6889,25280.8203125,1797,2781,15020,920,906,5316,2,20,0.2647134562720665,524861440
1678835161648,200,25037,2062,4731,45680.6953125,3766,1047,20117,1540,107,7400,2,20,0.2647134562720665,527028224
1678835191213,200,50261,662,6658,30403.3671875,500,2410,47195,3590,156,12654,2,20,0.05329385319441297,492380160
1678835247677,200,48987,19002,15929,20228.71875,578,328,47956,3660,125,12857,2,20,0.008612517118884964,340275200
1678835193809,200,126282,2722,1369,28806.796875,453,360,125266,9620,203,17,2,20,0.024202045022464144,518500352
1678835326211,200,31381,16322,12739,43360.015625,262,104,30906,2350,109,9156,2,20,0.012910745631325646,610136064
1678835308790,200,69134,10502,5259,28827.3515625,547,515,67947,5220,125,17,2,20,0.006863746287246984,535261184
1678835363882,200,78951,7242,3629,24638.484375,159,438,78323,6020,31,17,2,20,0.008309472759858478,526553088
1678835449134,200,18738,17742,12376,32575.828125,94,187,18426,1410,31,7010,2,20,0.005907735201929086,662814720
1678835384315,200,111807,4342,2179,20578.671875,125,94,111556,8570,32,17,2,20,0.009961871033639668,493813760
1678835474041,200,98875,13762,6889,37779.0234375,141,125,98578,7570,31,17,2,20,0.006572879865592224,611291136
1678835503028,200,72256,562,289,25979.59375,78,16,72089,5540,73,17,2,20,0.007569954206362281,724455424
1678835579267,200,19742,3922,5571,35206.1796875,116,265,19330,1480,31,7220,2,20,0.005734640499129372,952692736
1678835605193,200,33886,16722,13219,51186.4921875,469,16,33323,2550,78,9716,2,20,0.008537504989370455,1061593088
1678835581346,200,78231,12382,6199,45788.4453125,78,47,78075,6000,31,17,2,20,0.03332818410420169,963330048
1678835645201,200,50345,15082,14143,31711.2109375,438,422,49392,3780,93,13205,2,20,0.006633159163783489,986947584
1678835701698,200,54299,5022,2519,51875.0546875,485,15,53768,4120,31,17,2,20,0.00705789345515837,985595904
1678835666285,200,111602,4262,2139,39378.5859375,125,156,111290,8550,31,17,2,20,0.007428767179897726,977879040
1678835762411,200,116066,942,479,34952.2890625,78,234,115678,8870,76,17,2,20,0.00592100604396526,942653440
1678835784075,200,121065,10982,5499,32144.2109375,234,63,120673,9270,95,17,2,20,0.007931097851981834,841633792
1678835884592,200,28406,17102,12849,44532.4609375,201,13,28130,2150,62,8596,2,20,0.00559377509432768,980652032
1678835919191,200,7163,462,1700,47100.4453125,348,16,6721,510,78,2938,2,20,0.015820185693795952,922923008
1678835911299,200,23099,14042,10946,56416.125,796,219,22053,1690,31,7850,2,20,0.00995751584861652,921972736
1678835932511,200,29477,8062,8427,23310.875,328,78,29040,2220,31,8792,2,20,0.01281488722243122,932294656
1678835940846,200,41330,15382,13361,45202.2578125,281,16,40892,3130,141,11340,2,20,0.01134600274998061,880283648
1678835968256,200,16098,17442,11911,50430.234375,187,188,15681,1200,41,6380,2,20,0.006266873339975897,856244224
1678835989009,200,72606,17422,8719,37383.3828125,1902,15,70659,5410,30,17,2,20,0.01110435218969439,874319872
1678835992012,200,122486,17402,8709,45671.6328125,438,125,121814,9350,109,17,2,20,0.017561202279132732,784367616
1678836072509,200,102843,3642,1829,30586.046875,578,47,102046,7810,172,17,2,20,0.007053340794148208,806187008
1678836124264,200,106694,16542,8279,21509.078125,110,0,106506,8180,78,17,2,20,0.006786838070959591,832782336
1678836237475,200,3922,18202,9848,24070.703125,250,108,3533,260,31,1495,2,20,0.0059936259987582105,798203904
1678836181456,200,75310,18682,9349,19519.7109375,828,47,74403,5710,32,17,2,20,0.00806719979220836,819318784
1678836249475,200,71702,3182,1599,52381.8359375,926,0,70713,5430,63,17,2,20,0.008460534863080784,783138816
1678836262927,200,88373,17122,8569,20481.78125,622,140,87579,6720,32,17,2,20,0.009764925228225925,729481216
1678836359109,200,29808,1402,5153,34126.2421875,281,31,29450,2260,46,8904,2,20,0.008379465028895377,670748672
1678836327298,200,120398,17382,8699,40042.8203125,125,125,120117,9220,31,17,2,20,0.0061988435645921516,700076032
1678836394985,200,107639,11422,5719,32163.1015625,172,13,107407,8250,47,17,2,20,0.006527940705893615,657252352
1678836454233,200,68627,4442,2229,22238.03125,703,16,67829,5210,79,17,2,20,0.006065376172900292,1010880512
1678836529395,200,83661,13882,6949,27164.71875,94,12,83524,6410,31,17,2,20,0.006442982422884189,1012064256
1678836508845,200,110469,4282,2149,19544.5234375,859,78,109501,8410,31,17,2,20,0.005723956429602665,1013235712
1678836619484,200,9311,12942,8375,23505.3515625,500,47,8670,660,94,3808,2,20,0.006052434878199551,1377349632
1678836636271,200,1895,10062,5408,25553.3515625,125,3,1735,130,32,754,2,20,0.011588921843662107,1047859200
1678836625527,200,77628,6702,3359,22210.125,328,31,77222,5930,47,17,2,20,0.009464592809031265,1176887296
1678836648271,200,119488,3962,1989,29750.90625,156,125,119097,9150,110,17,2,20,0.008463991034057317,1029529600
1678836709556,200,70693,19722,9869,22266.9765625,484,172,69990,5380,47,17,2,20,0.005229448929769492,975609856
1678836773948,200,62333,3622,1819,47889.03125,438,15,61849,4750,31,17,2,20,0.006922113442009909,873082880
1678836842349,200,9801,12802,8421,51741.25,546,16,9208,700,31,4040,2,20,0.003637131264566017,892633088
