name,resultv,latency,inlen,outlen,mem,tprocess2,tprocess3,tkafka,kafkalen,tdatabase,resulsetlen,numthread,tranrate,loadcpu,freemem
1678830037329,200,1094,3582,1799,20199.34375,469,453,141,180,31,17,1,20,0.011175669104892363,832274432
1678830043327,200,891,3962,1989,21881.640625,375,47,203,234,266,17,1,20,0.026854951832139956,826724352
1678830049325,200,1071,18182,13346,19363.8203125,408,351,93,58,219,8510,1,20,0.020014464782825304,461897728
1678830062962,200,600,13442,6729,21268.6484375,175,89,227,151,109,17,1,20,0.024299102821497578,455839744
1678830068969,200,1299,4282,8787,23457.640625,138,60,883,115,218,13292,1,20,0.01965950071888975,435437568
1678830074963,200,673,6762,6811,28317.9765625,196,141,211,41,125,6860,1,20,0.018209535573349558,406228992
1678830080969,200,639,4322,5291,21381.0625,500,16,92,35,31,6260,1,20,0.02721402211726809,405905408
1678830086962,200,1119,3262,5971,28492.3125,149,49,890,66,31,8680,1,20,0.019474478325360547,418926592
1678830092971,200,801,12002,10285,24068.0546875,416,72,157,65,156,8568,1,20,0.024997589706087283,465473536
1678830098970,200,423,19322,13987,31200.5390625,173,37,88,66,125,8652,1,20,0.022077245332938908,531890176
1678830104965,200,941,5562,2789,19517.515625,242,289,378,195,32,17,1,20,0.017980045938174878,546566144
1678830112328,200,824,6022,5553,22809.59375,703,11,79,27,31,5084,1,20,0.022434009451020014,501370880
1678830118329,200,1076,11102,5559,24312.34375,953,34,57,127,32,17,1,20,0.022001112707569367,521068544
1678830124334,200,480,6502,9288,22932.0703125,266,57,125,102,32,12074,1,20,0.01979867633082542,525611008
1678830130329,200,392,15702,14018,21162.875,141,22,198,105,31,12335,1,20,0.016856770652533663,526909440
1678830136342,200,1523,82,49,22946.1171875,111,125,1256,249,31,17,1,20,0.026506743040769224,543387648
1678830142339,200,842,1402,709,24528.109375,297,279,235,163,31,17,1,20,0.021522795645170508,542679040
1678830148342,200,886,5962,8567,20877.0,471,141,242,93,32,11172,1,20,0.018155452202226058,514109440
1678830154341,200,802,13142,6579,22556.453125,365,49,356,279,32,17,1,20,0.019631228246400404,549965824
1678830160339,200,1088,12942,10291,28277.9375,107,119,831,49,31,7640,1,20,0.02065263619087669,517275648
